corr_data_correlation_min,corr_data_correlation_max,corr_data_correlation_median,corr_data_correlation_mean,corr_data_correlation_std,corr_data_abs_correlation_min,corr_data_abs_correlation_max,corr_data_abs_correlation_median,corr_data_abs_correlation_mean,corr_data_abs_correlation_std,model_roc_auc,permutation_ranks_corr,shap_ranks_corr,gain_ranks_corr,drop_and_relearn_ranks_corr,permute_and_relearn_ranks_corr
0.8774881447845589,0.9505908959532859,0.9257906653220035,0.9253233458175769,0.016194916139916905,0.8774881447845589,0.9505908959532859,0.9257906653220035,0.9253233458175769,0.016194916139916905,0.8853477616556419,0.7162064825930371,0.7850048907408567,0.7821747694583299,0.2801920768307323,0.2801920768307323
0.8827671718316293,0.9517130537400156,0.933248533611614,0.9303388147628983,0.01275459621151979,0.8827671718316293,0.9517130537400156,0.933248533611614,0.9303388147628983,0.01275459621151979,0.9781170459949095,0.6862424969987995,0.7280453804503205,0.7287251160506076,0.458343337334934,0.46842737094837933
0.8813046609489668,0.9500734858445675,0.9302668873757545,0.9281016236261695,0.013563735013154624,0.8813046609489668,0.9500734858445675,0.9302668873757545,0.9281016236261695,0.013563735013154624,0.9798944767687449,0.7345498199279711,0.7514120163275823,0.7803439020857661,0.6756782713085233,0.5592797118847539
0.8813144301113375,0.9521185237103545,0.9267469595562877,0.9249817016340983,0.015624858818621015,0.8813144301113375,0.9521185237103545,0.9267469595562877,0.9249817016340983,0.015624858818621015,0.9917817622760647,0.8456662665066026,0.8519087635054022,0.8364465786314526,0.6039375750300119,0.6167106842737095
0.8790682939601766,0.9506922488205442,0.9271731460428523,0.9258997083122568,0.016056485973972082,0.8790682939601766,0.9506922488205442,0.9271731460428523,0.9258997083122568,0.016056485973972082,0.8920263877676845,0.7509723889555822,0.8165733132723364,0.8160713009071131,0.5606242496998799,0.4862905162064826
0.715972540326578,0.9503113255044517,0.863933710915568,0.8640981238546992,0.05488747566770754,0.715972540326578,0.9503113255044517,0.863933710915568,0.8640981238546992,0.05488747566770754,0.8926657544204999,0.6533973589435774,0.6060657495264294,0.6041889262453598,0.543625450180072,0.543625450180072
0.7269833373095785,0.9504446110049041,0.8852229444906341,0.8773336053276725,0.043259835483490064,0.7269833373095785,0.9504446110049041,0.8852229444906341,0.8773336053276725,0.043259835483490064,0.9725991005427047,0.686530612244898,0.5285274860259934,0.5334151306323411,0.5843457382953181,0.5843457382953181
0.7268781544735519,0.9497077370573414,0.8776747557344436,0.8713624361992436,0.04616667423322069,0.7268781544735519,0.9497077370573414,0.8776747557344436,0.8713624361992436,0.04616667423322069,0.972015968360879,0.7030492196878751,0.753698388689176,0.742555256763616,0.6094117647058823,0.5270108043217286
0.7231736093912464,0.9516028721113006,0.8613578313427884,0.8577819824286992,0.05214050684558369,0.7231736093912464,0.9516028721113006,0.8613578313427884,0.8577819824286992,0.05214050684558369,0.9856575109175981,0.6626170468187274,0.6594764152840513,0.6633197979039045,0.5824249699879952,0.4652581032412965
0.7188423646988505,0.9502078483016907,0.8644873519041245,0.8632331272391375,0.05413216014438489,0.7188423646988505,0.9502078483016907,0.8644873519041245,0.8632331272391375,0.05413216014438489,0.8819661378826722,0.7373349339735893,0.8065528626869629,0.8075794685072225,0.4167587034813925,0.4536374549819928
